,question,answer_aliases,answers,answers_norm,aliases_norm
10,Which innovation for the car was developed by Prince Henry of Prussia in 1911?,"['Rear-window wiper' 'Headlight washer' 'Windshield wiper'
 'Windshield wipers' 'Wipers (car)' 'Headlamp wiper' 'Windscreen wipers'
 'MAGIC VISION CONTROL' 'Intermittent windshield wiper'
 'Windscreen washer' 'Headlight wiper' 'Headlamp washer' 'Wiper blade'
 'Windshield washer' 'Windscreen wiper']",Windshield wipers,windshield wipers,"['rearwindow wiper', 'headlight washer', 'windshield wiper', 'windshield wipers', 'wipers car', 'headlamp wiper', 'windscreen wipers', 'magic vision control', 'intermittent windshield wiper', 'windscreen washer', 'headlight wiper', 'headlamp washer', 'wiper blade', 'windshield washer', 'windscreen wiper']"
11,How is musician William Lee Conley better known?,"['Bill Broonzy' 'Big Bill Broonzey' 'William Lee Conley Broonzy'
 'Big Bill Broonzy' 'William Broonzy']",Big Bill Broonzy,big bill broonzy,"['bill broonzy', 'big bill broonzey', 'william lee conley broonzy', 'big bill broonzy', 'william broonzy']"
12,How is Joan Molinsky better known?,"['Queen of Comedy' 'Heidi Abromowitz' 'Joan Rivers (TV) Show'
 'Joan Alexandra Molinsky' 'Diary of a Mad Diva' 'Joan rivers'
 'Heidi abromowitz' 'Joan River' 'Joan Rivers Show' 'Joan Rivers']",Joan Rivers,joan rivers,"['queen of comedy', 'heidi abromowitz', 'joan rivers tv show', 'joan alexandra molinsky', 'diary of a mad diva', 'joan rivers', 'heidi abromowitz', 'joan river', 'joan rivers show', 'joan rivers']"
13,In which branch of the arts is Patricia Neary famous?,"['Ballet' 'Ballet competitions' 'Ballet schools' 'Balet, India' 'Balletti'
 'Ballet dancing' '1938 ballet premieres' 'Balletto' 'Balletomane'
 '2011 ballet premieres' '1940 ballet premieres' 'Balletomanes'
 '1939 ballet premieres' 'Ballet characters' 'Ballet teachers'
 'Ballet dance' 'Classical Dance' 'Ballets' 'Ballet lessons'
 '1915 ballet premieres' '1914 ballet premieres' 'Classical dance'
 'UN/LOCODE:INBLT' '1916 ballet premieres' 'Balet' 'Ballett']",Ballet,ballet,"['ballet', 'ballet competitions', 'ballet schools', 'balet india', 'balletti', 'ballet dancing', '1938 ballet premieres', 'balletto', 'balletomane', '2011 ballet premieres', '1940 ballet premieres', 'balletomanes', '1939 ballet premieres', 'ballet characters', 'ballet teachers', 'ballet dance', 'classical dance', 'ballets', 'ballet lessons', '1915 ballet premieres', '1914 ballet premieres', 'classical dance', 'unlocodeinblt', '1916 ballet premieres', 'balet', 'ballett']"
14,Which country is Europe's largest silk producer?,"['Environment of Italy' 'Italiën' 'Subdivisions of Italy'
 'Republic of Italy' 'ItalY' 'ISO 3166-1:IT' 'Etymology of Italy' 'Itali'
 'Pollution in Italy' 'Administrative divisions of Italy'
 'Austrian Empire (Italy)' 'Italija' 'Italie' 'Italia' 'Italian Republic'
 'Second Italian Republic' 'Italy' 'Italio' 'Repubblica Italiana' 'Itàlia'
 'The Italian republic']",Italy,italy,"['environment of italy', 'italiën', 'subdivisions of italy', 'republic of italy', 'italy', 'iso 31661it', 'etymology of italy', 'itali', 'pollution in italy', 'administrative divisions of italy', 'austrian empire italy', 'italija', 'italie', 'italia', 'italian republic', 'second italian republic', 'italy', 'italio', 'repubblica italiana', 'itàlia', 'the italian republic']"
15,The VS-300 was a type of what?,"['🚁' 'Helicopters' 'Civilian helicopter' 'Pescara (helicopter)'
 'Cargo helicopter' 'Copter' 'Helecopter'
 'List of deadliest helicopter crashes' 'Helichopper' 'Helocopter'
 'Cargo Helicopter' 'Helicopter' 'Helicoptor' 'Anatomy of a helicopter']",Helicopter,helicopter,"['', 'helicopters', 'civilian helicopter', 'pescara helicopter', 'cargo helicopter', 'copter', 'helecopter', 'list of deadliest helicopter crashes', 'helichopper', 'helocopter', 'cargo helicopter', 'helicopter', 'helicoptor', 'anatomy of a helicopter']"
16,At which university did Joseph Goebbels become a doctor of philosophy?,"['Heidelberg romantics' 'UN/LOCODE:DEHEI' 'Heidelberg, West Germany'
 'Wieblingen' 'Heidelberg' 'Heidelberg, Germany']",Heidelberg,heidelberg,"['heidelberg romantics', 'unlocodedehei', 'heidelberg west germany', 'wieblingen', 'heidelberg', 'heidelberg germany']"
17,Which prince is Queen Elizabeth II's youngest son?,['Eadweard' 'Edward'],Edward,edward,"['eadweard', 'edward']"
18,When did the founder of Jehovah's Witnesses say the world would end?,"['one thousand, nine hundred and fourteen' '1914']",1914,1914,"['one thousand nine hundred and fourteen', '1914']"
19,Who found the remains of the Titanic?,"['Bob Ballard' 'Robert Duane Ballard' 'Robert Ballard'
 'Robert %22Bob%22 Ballard' 'Robert d. ballard']",Robert Ballard,robert ballard,"['bob ballard', 'robert duane ballard', 'robert ballard', 'robert 22bob22 ballard', 'robert d ballard']"
20,Who was the only Spice Girl not to have a middle name?,"['My Love Is For Real (Victoria Beckham song' 'Romeo James Beckham'
 'Harper Seven Beckham' 'Posh Spice' 'Victoria addams' 'Victoria Beckham'
 'Victoria Adams Beckham' 'Harper Beckham' 'Victoria Caroline Beckham'
 ""I'd Give It All Away"" 'Come Together (Victoria Beckham album)'
 'Posh spice' 'The Hustla' 'My Love Is For Real (Victoria Beckham song)'
 'Victoria beckham']",Posh Spice,posh spice,"['my love is for real victoria beckham song', 'romeo james beckham', 'harper seven beckham', 'posh spice', 'victoria addams', 'victoria beckham', 'victoria adams beckham', 'harper beckham', 'victoria caroline beckham', 'id give it all away', 'come together victoria beckham album', 'posh spice', 'the hustla', 'my love is for real victoria beckham song', 'victoria beckham']"
21,What are the international registration letters of a vehicle from Algeria?,['DZ (disambiguation)' 'Dz.' 'DZs' 'Dz' 'D.z.' 'DZ' 'D Z' 'D.Z.'],DZ,dz,"['dz disambiguation', 'dz', 'dzs', 'dz', 'dz', 'dz', 'd z', 'dz']"
22,How did Jock die in Dallas?,['Helicopter accident'],Helicopter accident,helicopter accident,['helicopter accident']
23,What star sign is Michael Caine?,['Pisces (disambiguation)' 'Piscean' 'Picese' 'Pisces' 'Piscese' 'Pisese'],Pisces,pisces,"['pisces disambiguation', 'piscean', 'picese', 'pisces', 'piscese', 'pisese']"
24,Who wrote the novel Evening Class?,['Maeve Binchy'],Maeve Binchy,maeve binchy,['maeve binchy']
25,Which country does the airline Air Pacific come from?,"['Fiji Islands' 'Pacific/Fiji' 'Fidji' 'Matanitu Ko Viti' 'Fijis'
 'Fijian Islands' 'Feejee' 'Ripablik ăph Phījī' 'Cannibal Isles'
 'Sovereign Democratic Republic of Fiji' 'ISO 3166-1:FJ' 'Name of Fiji'
 'Etymology of Fiji' 'Fiji Islander' 'Holidays in fiji' ""Fiji's""
 'Republic of the Fiji Islands' 'Matanitu Tugalala o Viti'
 'Fiji Archipelago' 'Fiji Island' 'Fidji Islands' 'Chikoba'
 'Holidays in Fiji' 'Tourism in Fiji' 'Fiji' 'Republic of Fiji']",Fiji,fiji,"['fiji islands', 'pacificfiji', 'fidji', 'matanitu ko viti', 'fijis', 'fijian islands', 'feejee', 'ripablik ăph phījī', 'cannibal isles', 'sovereign democratic republic of fiji', 'iso 31661fj', 'name of fiji', 'etymology of fiji', 'fiji islander', 'holidays in fiji', 'fijis', 'republic of the fiji islands', 'matanitu tugalala o viti', 'fiji archipelago', 'fiji island', 'fidji islands', 'chikoba', 'holidays in fiji', 'tourism in fiji', 'fiji', 'republic of fiji']"
26,In which branch of the arts does Allegra Kent work?,"['Ballet' 'Ballet competitions' 'Ballet schools' 'Balet, India' 'Balletti'
 'Ballet dancing' '1938 ballet premieres' 'Balletto' 'Balletomane'
 '2011 ballet premieres' '1940 ballet premieres' 'Balletomanes'
 '1939 ballet premieres' 'Ballet characters' 'Ballet teachers'
 'Ballet dance' 'Classical Dance' 'Ballets' 'Ballet lessons'
 '1915 ballet premieres' '1914 ballet premieres' 'Classical dance'
 'UN/LOCODE:INBLT' '1916 ballet premieres' 'Balet' 'Ballett']",Ballet,ballet,"['ballet', 'ballet competitions', 'ballet schools', 'balet india', 'balletti', 'ballet dancing', '1938 ballet premieres', 'balletto', 'balletomane', '2011 ballet premieres', '1940 ballet premieres', 'balletomanes', '1939 ballet premieres', 'ballet characters', 'ballet teachers', 'ballet dance', 'classical dance', 'ballets', 'ballet lessons', '1915 ballet premieres', '1914 ballet premieres', 'classical dance', 'unlocodeinblt', '1916 ballet premieres', 'balet', 'ballett']"
27,"Who had a 70s No 1 hit with Billy, Don't Be A Hero?","['Bo donaldson and the heywoods' 'Bo Donaldson and the Heywoods'
 'Bo Donaldson and The Heywoods' 'The Heywoods'
 'Bo Donaldson & the Haywoods' 'Bo Donaldson & the Heywoods'
 'Bo Donaldson & The Heywoods' 'Bo Donaldson' 'Rick Joswick'
 'Bo Donaldson and the Haywoods']",Bo Donaldson & The Heywoods,bo donaldson  the heywoods,"['bo donaldson and the heywoods', 'bo donaldson and the heywoods', 'bo donaldson and the heywoods', 'the heywoods', 'bo donaldson  the haywoods', 'bo donaldson  the heywoods', 'bo donaldson  the heywoods', 'bo donaldson', 'rick joswick', 'bo donaldson and the haywoods']"
28,Banting and Best pioneered the use of what?,"['Insulin antagonists' 'Human Mixtard'
 'Insulin recombinant purified human' 'INS (gene)' 'Insulin Human' 'C65R'
 'Insulin recombinant human' 'C257H383N65O77S6' 'Insulin purified pork'
 'Actraphane' 'Insulin zinc susp recombinant human' 'Insuline'
 'Insulin zinc susp prompt beef' 'Insullin'
 'Insulin zinc susp semisynthetic purified human'
 'Insulin aspart recombinant' 'B10H' 'Insulin purified beef'
 'Insulin gene' 'Insulin zinc susp extended recombinant human' 'Aktrapid'
 'Oral insulin' 'Insulin zinc susp purified pork' 'Human mixtard'
 'Insulin zinc susp extended beef'
 'Insulin zinc susp extended purified beef' 'Insulin release'
 'Insulin zinc susp purified beef' 'Actrapid'
 'Insulin glargine recombinant' 'Insulin zinc susp prompt purified pork'
 'Insulin pork' 'Iletin i (beef-pork)' 'Iletin II'
 'Insulin zinc susp beef' 'Mixtard' 'Insulin, porcine' 'Insulin']",Insulin,insulin,"['insulin antagonists', 'human mixtard', 'insulin recombinant purified human', 'ins gene', 'insulin human', 'c65r', 'insulin recombinant human', 'c257h383n65o77s6', 'insulin purified pork', 'actraphane', 'insulin zinc susp recombinant human', 'insuline', 'insulin zinc susp prompt beef', 'insullin', 'insulin zinc susp semisynthetic purified human', 'insulin aspart recombinant', 'b10h', 'insulin purified beef', 'insulin gene', 'insulin zinc susp extended recombinant human', 'aktrapid', 'oral insulin', 'insulin zinc susp purified pork', 'human mixtard', 'insulin zinc susp extended beef', 'insulin zinc susp extended purified beef', 'insulin release', 'insulin zinc susp purified beef', 'actrapid', 'insulin glargine recombinant', 'insulin zinc susp prompt purified pork', 'insulin pork', 'iletin i beefpork', 'iletin ii', 'insulin zinc susp beef', 'mixtard', 'insulin porcine', 'insulin']"
29,Who directed the movie La Dolce Vita?,"['Federico Fellini, Cavaliere di Gran Croce OMRI' 'Felini' 'Felliniesque'
 'Fellini' 'Frederico Fellini' 'Federico Fellini']",Federico Fellini,federico fellini,"['federico fellini cavaliere di gran croce omri', 'felini', 'felliniesque', 'fellini', 'frederico fellini', 'federico fellini']"
30,Which country does the airline LACSA come from?,"['Countries: Costa Rica' 'Costarrica' 'Republic of Costa Rica'
 'Sport in Costa Rica' 'Costarica' 'The Republic of Costa Rica'
 'Costa rica' 'Rich Coast' 'Costa-Rica' 'Climate of Costa Rica'
 'Costa Rica' 'Costa Rican' 'República de Costa Rica'
 'Climate of costa rica' 'Cosat Rica' 'Tiquicia' 'Coasta rica'
 'List of Costa Ricans' 'ISO 3166-1:CR' 'America/Costa Rica' 'Coast Rice']",Costa Rica,costa rica,"['countries costa rica', 'costarrica', 'republic of costa rica', 'sport in costa rica', 'costarica', 'the republic of costa rica', 'costa rica', 'rich coast', 'costarica', 'climate of costa rica', 'costa rica', 'costa rican', 'república de costa rica', 'climate of costa rica', 'cosat rica', 'tiquicia', 'coasta rica', 'list of costa ricans', 'iso 31661cr', 'americacosta rica', 'coast rice']"
31,Who directed 2001: A Space Odyssey?,"['Stanley Q-Brick' 'Stanley kubrick' 'Stan Kubrick' 'Stanley Kubrik'
 'Kubricks' 'List of Stanley Kubrick films' 'Stanley Kubrick'
 'Uncompleted Kubrick films' 'Toba metz' 'Stanley kubrik' 'Kubrick'
 'Kubrik' 'Kubrickian']",Stanley Kubrick,stanley kubrick,"['stanley qbrick', 'stanley kubrick', 'stan kubrick', 'stanley kubrik', 'kubricks', 'list of stanley kubrick films', 'stanley kubrick', 'uncompleted kubrick films', 'toba metz', 'stanley kubrik', 'kubrick', 'kubrik', 'kubrickian']"
32,Which is the largest of the Japanese Volcano Islands?,"['Mount Surabachi' 'Iō-tō' 'Iwō Tō' 'Iwo-Jima' 'Io-jima' 'Ivo jima'
 'Io To' 'Iōtō' 'Iwo To' 'Iwo Jima Island' 'Iwo Jima' 'Ioto' 'Iwoto'
 'Iwo jima' 'Iwojima' 'Io Jima' 'Iō Tō' 'Iwōtō']",Iwo Jima,iwo jima,"['mount surabachi', 'iōtō', 'iwō tō', 'iwojima', 'iojima', 'ivo jima', 'io to', 'iōtō', 'iwo to', 'iwo jima island', 'iwo jima', 'ioto', 'iwoto', 'iwo jima', 'iwojima', 'io jima', 'iō tō', 'iwōtō']"
33,Ezzard Charles was a world champion in which sport?,"['Prize fight' 'Prize fighting' 'Fistfighting' 'Corner men'
 'Corner persons' 'Prize-fighter' 'Noble art' 'Boxing' 'Sports boxing'
 'Western boxing' 'English boxing' 'Boxing match' 'Fistfight' 'Cornermen'
 'Prizefighter' 'Low guard' 'Boxing (sport)' 'Boxing moves' 'Corner-man'
 'Cornerpersons' 'Pugilism' 'Corner-person' 'Fist fight' 'Boxing punches'
 'Round (boxing)' 'Pugilist' 'Boxer' 'Fist-fighting' ""Gentleman's sport""
 'Fist-fight' '拳闘' 'Cornerperson' 'Prizefights'
 'History of professional boxing' 'Corner-persons' 'Fist fighting'
 'Prize fighter' 'Boxers' 'Parrying (boxing)' 'History of boxing'
 'Fist Fighting' 'Prize Fighter' 'Pugilistic' 'Corner-men' 'Corner person'
 'Ring second' 'Hit and Away' 'Boxing Styles and Techniques']",Boxing,boxing,"['prize fight', 'prize fighting', 'fistfighting', 'corner men', 'corner persons', 'prizefighter', 'noble art', 'boxing', 'sports boxing', 'western boxing', 'english boxing', 'boxing match', 'fistfight', 'cornermen', 'prizefighter', 'low guard', 'boxing sport', 'boxing moves', 'cornerman', 'cornerpersons', 'pugilism', 'cornerperson', 'fist fight', 'boxing punches', 'round boxing', 'pugilist', 'boxer', 'fistfighting', 'gentlemans sport', 'fistfight', '拳闘', 'cornerperson', 'prizefights', 'history of professional boxing', 'cornerpersons', 'fist fighting', 'prize fighter', 'boxers', 'parrying boxing', 'history of boxing', 'fist fighting', 'prize fighter', 'pugilistic', 'cornermen', 'corner person', 'ring second', 'hit and away', 'boxing styles and techniques']"
34,Who was the first woman to make a solo flight across the Atlantic?,"['Amelia airheart' 'Amelia Airhardt' 'Disappearance of Amelia Earhart'
 'Amelia Airhart' 'Amelia Erhart' 'Emelia Earhart' 'Amelia Mary Earhart'
 'Amelia Aerhart' 'Amelia Erhardt' 'Amelia Earheart' 'Amelia Earnhart'
 'Amelia Earhart Putnam' 'Emelia Airheart' 'Amelia earhart'
 'Amielia Earhart' 'Amelia airhart' 'Amelia Earhardt'
 'Amelia Earhart Life Summary' 'Amelia Earhart' 'Amelia Airheart']",Amelia Earhart,amelia earhart,"['amelia airheart', 'amelia airhardt', 'disappearance of amelia earhart', 'amelia airhart', 'amelia erhart', 'emelia earhart', 'amelia mary earhart', 'amelia aerhart', 'amelia erhardt', 'amelia earheart', 'amelia earnhart', 'amelia earhart putnam', 'emelia airheart', 'amelia earhart', 'amielia earhart', 'amelia airhart', 'amelia earhardt', 'amelia earhart life summary', 'amelia earhart', 'amelia airheart']"
35,Which port lies between Puget Sound and Lake Washington?,"['Seattle, Washington.' 'Seattle Weekly news' 'Jet City'
 'Seattle, Washington, USA' 'Seattle WA'
 'Seattle, United States of America' '舍路' 'City of Seattle'
 'Seattle Washington' 'Seattle, US-WA' 'Seattle (WA)' 'Seattle, Wa'
 'Seattle, WA' 'Seattle, Washington' 'St. Anne Seattle' 'Seattle (Wash.)'
 'The weather in Seattle' 'Seattle, Washington (State)'
 'Emerald City, Washington' 'Seattleans' ""Seattle's"" 'Seattle, Wash.'
 'Duwamps' 'St. Anne School, Seattle, Washington' 'Seattle, wa'
 'Seattleites' 'Seattle, Washington Territory' 'Seattle, United States'
 'Seatle' 'Seattle, USA' 'UN/LOCODE:USSEA'
 'St. Anne School (Seattle, Washington)' 'Seattle' 'Seattle, WA, USA']",Seattle,seattle,"['seattle washington', 'seattle weekly news', 'jet city', 'seattle washington usa', 'seattle wa', 'seattle united states of america', '舍路', 'city of seattle', 'seattle washington', 'seattle uswa', 'seattle wa', 'seattle wa', 'seattle wa', 'seattle washington', 'st anne seattle', 'seattle wash', 'the weather in seattle', 'seattle washington state', 'emerald city washington', 'seattleans', 'seattles', 'seattle wash', 'duwamps', 'st anne school seattle washington', 'seattle wa', 'seattleites', 'seattle washington territory', 'seattle united states', 'seatle', 'seattle usa', 'unlocodeussea', 'st anne school seattle washington', 'seattle', 'seattle wa usa']"
36,In which city were Rotary Clubs set up in 1905?,"['Chi-Beria' 'Sayre language academy' 'Chicago' 'Chicago, Illinois'
 'Hog Butcher for the World' 'Land of smelly onions'
 'Ariel Community Academy' 'The weather in Chicago'
 'Chicago, Illinois, U.S.A.' 'Chicago, Illionis' 'Near North Montessori'
 'Religion in Chicago' 'Chicago Finance Committee' 'The Paris of America'
 'The city of Chicago' 'City of Chicago'
 'List of sister cities of Chicago' 'UN/LOCODE:USCHI'
 'Chicago theatre scene' 'Chicago, WI' 'The City of Broad Shoulders'
 'City of Broad Shoulders' 'Sister Cities of Chicago' 'Chicago il'
 'Chicago, Illinois, USA' 'Performing arts in Chicago'
 'Chicago Transportation Committee' 'Chicago, Wisconsin' 'City of chicago'
 'Chicago theater scene' 'Chicago, Il' 'Chicago, IL.' 'Chicago, Ill.'
 'City of Chicago, Illinois' 'Chi town' 'Chicago, United States'
 'Chicago (Ill.)' 'Transport in Chicago'
 'Chicago, Illinois, United States' 'Chicago (IL)' 'USCHI' 'Chichago'
 'Chcago' 'Chicago, Illinois, U.S.' 'Sister Cities Chicago' 'Chicago, USA'
 'Chi City' 'Chicago, IL' 'Chi-Town' 'Chicago theatre' 'Paris of America'
 'Chicago, Illinois, US' 'Chicago Illinois'
 'The city of Chicago, Illinois' 'Sister cities of Chicago']",Chicago,chicago,"['chiberia', 'sayre language academy', 'chicago', 'chicago illinois', 'hog butcher for the world', 'land of smelly onions', 'ariel community academy', 'the weather in chicago', 'chicago illinois usa', 'chicago illionis', 'near north montessori', 'religion in chicago', 'chicago finance committee', 'the paris of america', 'the city of chicago', 'city of chicago', 'list of sister cities of chicago', 'unlocodeuschi', 'chicago theatre scene', 'chicago wi', 'the city of broad shoulders', 'city of broad shoulders', 'sister cities of chicago', 'chicago il', 'chicago illinois usa', 'performing arts in chicago', 'chicago transportation committee', 'chicago wisconsin', 'city of chicago', 'chicago theater scene', 'chicago il', 'chicago il', 'chicago ill', 'city of chicago illinois', 'chi town', 'chicago united states', 'chicago ill', 'transport in chicago', 'chicago illinois united states', 'chicago il', 'uschi', 'chichago', 'chcago', 'chicago illinois us', 'sister cities chicago', 'chicago usa', 'chi city', 'chicago il', 'chitown', 'chicago theatre', 'paris of america', 'chicago illinois us', 'chicago illinois', 'the city of chicago illinois', 'sister cities of chicago']"
